#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-10-16T20:24:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bc648c42111	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&
#-c.eq=J2000
#-c.r=  360
#-c.u=deg
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=FK5
#-out=RAJ2000
#-out=DEJ2000
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|DEJ2000|name
1237|09 06 31.764|+38 27 07.92|
1238|09 07 44.819|+10 40 05.44|
 345|09 07 59.776|-43 25 57.38|
1240|09 09 11.511|-12 21 27.81|
1239|09 09 21.533|+22 02 43.56|
1241|09 09 56.429|-30 21 55.39|
1242|09 11 58.734|-19 44 51.61|
 348|09 13 11.957|-69 43 01.95|MIAPLACIDUS
 346|09 13 48.207|+43 13 04.17|
 347|09 14 21.870|+02 18 51.23|
1640|09 15 21.239|+84 10 51.66|
 351|09 17 05.404|-59 16 31.04|ASPIDISKE
 350|09 18 58.832|+17 42 19.16|
 352|09 21 03.303|+34 23 33.19|
1243|09 21 29.596|-25 57 55.67|
 353|09 22 06.828|-55 00 38.60|
1244|09 24 39.255|+26 10 56.29|
1245|09 25 24.032|-05 07 02.80|
 354|09 27 35.247|-08 39 31.15|ALPHARD
 356|09 29 14.725|-35 57 05.13|
 361|09 31 13.321|-57 02 03.85|
 355|09 31 31.716|+63 03 42.70|
 362|09 31 36.273|-73 04 51.49|
 403|10 43 04.059|+69 04 34.37|
1246|09 31 56.738|+11 17 59.26|
 358|09 32 51.412|+51 40 38.38|
1247|09 33 12.464|-21 06 56.74|
 360|09 34 13.378|+36 23 51.16|
 357|09 34 28.874|+69 49 49.24|
 910|09 37 05.232|+81 19 35.12|
1248|09 37 09.904|-32 10 43.41|
1249|09 38 27.295|+04 38 57.32|
1250|09 39 51.364|-01 08 34.37|
 364|09 40 18.361|-14 19 56.40|
 365|09 41 09.038|+09 53 32.29|
 363|09 42 14.827|+69 14 15.11|
1251|09 43 33.258|+29 58 28.12|
1252|09 43 43.906|+14 01 18.07|
 366|09 44 12.110|-27 46 10.30|
1254|09 45 14.804|-62 30 28.49|
 367|09 45 51.071|+23 46 27.21|
1253|09 45 51.938|+18 41 00.91|
1255|09 48 35.379|+46 01 15.62|
 368|09 50 59.366|+59 02 19.45|
 370|09 51 14.029|-04 14 36.15|
1256|09 51 19.752|-46 11 38.13|
 371|09 52 45.819|+26 00 24.92|RASALAS
 373|09 54 52.209|-19 00 33.88|
1257|09 56 08.000|-07 38 43.31|
 375|09 56 51.756|-54 34 04.15|
 374|09 57 41.052|+41 03 20.32|
 372|09 58 22.779|+72 52 46.21|
 377|09 58 52.280|-35 53 27.84|
 376|09 59 43.075|+03 23 05.08|
 378|10 00 12.810|+08 02 39.11|
1258|10 01 00.661|+31 55 25.25|
1260|10 04 20.957|-24 17 08.08|
1259|10 04 36.329|+53 53 30.27|
1261|10 05 07.471|-13 03 52.86|
 379|10 07 19.952|+16 45 45.54|
 380|10 08 22.315|+11 58 01.89|REGULUS
 381|10 10 35.282|-12 21 14.72|
 385|10 13 44.198|-70 02 16.56|
 382|10 14 44.169|-42 07 19.34|
 384|10 16 41.409|+23 25 02.26|ADHAFERA
1264|10 17 04.976|-61 19 56.39|q CAR
 383|10 17 05.796|+42 54 51.81|TANIA BOREALIS
1263|10 17 37.807|-08 04 08.17|
1262|10 18 02.050|+65 06 30.03|
1265|10 18 07.610|-28 59 31.26|
1266|10 21 02.007|+02 17 22.80|RS SEX
1268|10 22 19.604|-41 39 00.22|
 386|10 22 19.742|+41 29 58.26|TANIA AUSTRALIS
1267|10 23 06.329|+33 54 29.21|
 388|10 23 26.479|-04 04 26.61|
1269|10 23 29.298|-38 00 35.74|
 387|10 24 07.852|+65 33 59.01|
 391|10 24 23.660|-74 01 53.81|
 389|10 26 05.430|-16 50 10.85|
 392|10 27 09.120|-31 04 04.11|
 393|10 27 52.727|-58 44 22.10|
 390|10 27 53.009|+36 42 26.06|
1270|10 29 28.704|-02 44 20.84|
1271|10 29 53.694|+28 34 52.36|
 394|10 30 37.585|+55 58 50.01|
1663|10 30 49.267|-86 05 26.35|
 911|10 31 04.565|+82 33 31.09|
 397|10 32 01.443|-61 41 07.33|
1272|10 32 11.774|+14 08 14.02|
 396|10 32 48.671|+09 18 23.66|
1273|10 32 56.894|-47 00 12.29|
 399|10 34 00.893|-23 44 42.64|
 395|10 35 05.525|+75 42 46.55|
 398|10 35 09.698|+57 04 57.56|
 401|10 35 28.071|-78 36 27.97|
1274|10 36 32.382|-12 13 48.58|
1275|10 38 43.215|+31 58 34.37|
 402|10 39 18.399|-55 36 11.82|
 404|10 41 24.187|-01 44 29.55|
1277|10 42 43.197|-32 42 56.57|
 406|10 42 57.368|-64 23 40.08|
 405|10 43 24.951|+23 11 18.24|
1276|10 43 32.894|+46 12 13.97|
 411|10 45 46.821|-80 32 24.66|
 407|10 45 51.899|+30 40 56.23|
1278|10 46 05.679|+06 22 23.40|
1279|10 46 24.545|+18 53 29.49|
1280|10 46 42.747|-26 02 53.27|
 409|10 49 15.432|+10 32 42.67|
 410|10 49 37.494|-16 11 37.26|
1281|10 50 18.058|-08 53 52.06|
 412|10 53 18.700|+34 12 53.54|
 414|10 56 43.060|-37 08 16.25|
1664|10 59 13.777|-84 35 37.91|
1282|10 59 27.972|+40 25 48.98|
1283|10 59 46.470|-18 17 55.65|ALKES
 413|10 59 56.776|+77 46 12.45|
 415|11 00 09.277|-42 13 33.35|
1284|11 00 33.649|+03 37 02.85|
 416|11 01 50.482|+56 22 56.65|MERAK
1285|11 02 36.791|-03 30 45.63|
 417|11 03 43.666|+61 45 03.22|DUBHE
 418|11 05 01.035|+07 20 09.58|
 419|11 05 19.918|-27 17 36.96|
1286|11 05 33.985|-11 05 20.33|
1288|11 06 49.863|-70 52 40.58|
1287|11 06 54.211|+01 57 19.74|
1289|11 08 35.374|-58 58 30.24|
 420|11 09 39.798|+44 29 54.60|
 421|11 11 39.492|-22 49 33.10|
1290|11 12 14.808|-32 26 01.84|
1291|11 12 33.078|-49 06 03.61|
 422|11 14 06.495|+20 31 25.30|ZOSMA
 423|11 14 14.401|+15 25 46.36|CHERTAN
1641|11 14 30.135|+85 38 24.41|
1292|11 16 39.704|-03 39 05.89|
 424|11 16 41.854|+49 28 34.59|
 425|11 18 28.738|+33 05 39.44|ALULA BOREALIS
1293|11 19 07.904|+38 11 07.99|
 426|11 19 20.453|-14 46 42.83|
 428|11 21 00.425|-54 29 27.82|
 427|11 21 08.195|+06 01 45.54|
 429|11 22 51.250|+64 19 49.72|
1294|11 24 22.064|-42 40 08.87|
 431|11 24 52.924|-17 41 02.47|
1295|11 25 45.736|+26 44 50.01|
1296|11 26 45.328|+03 00 47.05|
1297|11 27 56.246|+02 51 22.35|
1298|11 29 37.548|-28 01 50.20|
 432|11 30 31.130|+43 10 23.67|
 433|11 31 24.248|+69 19 51.87|GIAUSAR
 434|11 33 00.128|-31 51 27.51|
 436|11 35 46.845|-63 01 11.32|
 435|11 35 55.591|-47 38 30.02|
1299|11 36 40.915|-09 48 08.16|
 437|11 36 56.936|-00 49 25.65|
 438|11 37 15.577|-75 53 47.53|
 439|11 40 12.794|-34 44 40.81|
1300|11 41 03.020|+34 12 05.79|
 440|11 42 28.373|+66 44 41.55|
1301|11 44 45.787|-18 21 02.73|
 442|11 45 36.386|-66 43 43.47|
1302|11 45 51.563|+06 31 45.55|
 441|11 46 03.018|+47 46 45.90|
 443|11 46 30.796|-61 10 42.23|
1303|11 47 07.810|+61 24 06.72|
1304|11 47 59.128|+20 13 08.12|
1305|11 48 45.095|-26 44 59.32|
 444|11 49 03.580|+14 34 19.35|DENEBOLA
 445|11 50 41.722|+01 45 52.86|ZAVIJAVA
1306|11 51 02.239|-05 20 00.18|
 446|11 51 08.698|-45 10 24.73|
1307|11 52 58.767|+37 43 07.35|GROOMBRIDGE 1830
 447|11 53 49.836|+53 41 41.13|PHECDA
1308|11 55 40.532|+15 38 48.41|
1309|11 56 00.949|-17 09 03.02|
1310|11 58 07.175|+32 16 26.09|
1311|12 00 52.391|+06 36 51.43|
 449|12 03 39.588|-42 26 02.81|
1642|12 04 28.100|+85 35 13.66|
 450|12 05 12.537|+08 43 58.58|
 451|12 05 15.115|+76 54 20.56|
1312|12 05 56.674|-35 41 38.34|
 452|12 08 21.515|-50 43 20.74|
 453|12 10 07.485|-22 37 11.15|
1313|12 10 31.625|+16 48 33.29|
 454|12 12 11.917|+77 36 58.51|
1314|12 14 43.423|+53 26 04.76|
 455|12 15 08.683|-58 44 56.08|
 456|12 15 25.560|+57 01 57.42|MEGREZ
 457|12 15 48.366|-17 32 30.97|GIENAH
 458|12 16 07.551|+40 39 36.63|
 459|12 18 20.709|-79 18 43.93|
1315|12 19 20.198|-08 54 52.93|
1316|12 19 48.721|+48 59 02.93|
 460|12 19 54.358|-00 40 00.51|ZANIAH
1317|12 20 20.985|+03 18 45.05|
1318|12 22 30.314|+25 50 46.08|
1319|12 25 18.423|-27 44 56.60|
 461|12 25 50.937|+39 01 06.99|
 462|12 26 35.871|-63 05 56.58|ACRUX
 463|12 26 51.696|-32 49 48.41|
 464|12 28 02.389|-50 13 50.47|
1320|12 28 22.467|-39 02 28.68|
 466|12 29 43.233|+20 53 45.90|
 465|12 29 51.855|-16 30 55.57|ALGORAB
 467|12 29 57.334|+58 24 20.71|
 468|12 31 09.929|-57 06 47.50|GACRUX
 469|12 32 27.960|-72 07 58.64|
 472|12 33 28.952|+69 47 17.62|
1321|12 33 34.261|-12 49 48.77|
1322|12 33 38.914|+33 14 51.20|
 470|12 33 44.545|+41 21 26.89|CHARA
 471|12 34 23.238|-23 23 48.31|
1323|12 34 51.066|+22 37 45.18|
 473|12 35 07.751|+18 22 37.33|
1324|12 36 47.355|-05 49 54.83|
 474|12 37 10.958|-69 08 07.96|
 475|12 39 14.773|-07 59 44.23|
1325|12 41 22.993|-46 08 44.25|
 478|12 41 33.903|+62 42 46.88|
1326|12 41 53.062|+10 14 08.14|
 479|12 44 00.537|-28 19 26.28|
1327|12 45 07.839|+45 26 24.98|Y CVN
1328|12 45 37.062|+07 40 23.83|
 481|12 47 43.237|-59 41 19.46|
1330|12 47 51.418|+03 34 21.67|
1329|12 47 53.655|-24 51 05.94|
1331|12 50 41.175|-33 59 57.66|
1332|12 51 41.920|+27 32 26.48|
1333|12 52 12.251|+17 04 26.04|
 482|12 53 26.180|-40 10 44.15|
1334|12 54 00.285|-18 02 15.56|
 483|12 54 01.748|+55 57 35.47|ALIOTH
1335|12 54 21.163|-09 32 20.28|
 919|12 54 58.614|-85 07 24.08|
 486|12 55 28.543|+65 26 18.50|
 484|12 55 36.213|+03 23 50.75|
 485|12 56 01.664|+38 19 06.21|COR CAROLI
1336|12 59 39.527|-03 48 42.97|
 488|13 02 10.602|+10 57 32.88|VINDEMIATRIX
 487|13 02 16.217|-71 32 55.88|
1337|13 05 44.450|+35 47 56.05|
1338|13 05 52.278|+45 16 06.84|
1339|13 06 21.229|+21 09 12.31|
 489|13 06 54.639|-49 54 22.49|
1340|13 07 38.272|-53 27 35.38|
 490|13 09 56.999|-05 32 20.42|
 491|13 10 03.215|+38 29 56.27|
1341|13 11 39.213|-26 33 06.18|
 492|13 11 52.395|+27 52 41.40|
 493|13 15 14.890|-67 53 40.47|
1342|13 16 53.143|-31 30 22.40|
1343|13 17 13.924|-43 58 46.09|
 494|13 17 32.542|+40 34 21.45|
1344|13 17 36.288|+05 28 11.45|
1345|13 18 24.314|-18 18 40.57|
 495|13 18 55.293|-23 10 17.66|
1346|13 20 18.952|+40 09 02.02|
 496|13 20 35.822|-36 42 44.32|
1347|13 22 37.900|-60 59 18.03|
 497|13 23 55.539|+54 55 31.38|MIZAR
 498|13 25 11.587|-11 09 40.71|SPICA
 499|13 26 08.064|+72 23 29.27|
1348|13 26 43.168|-12 42 27.71|
1350|13 28 18.761|+31 08 57.20|
1349|13 28 25.809|+13 46 43.50|
 500|13 28 27.081|+59 56 44.88|
1351|13 34 07.932|+03 39 32.12|
 501|13 34 41.585|-00 35 45.39|
 502|13 34 47.808|+37 10 56.69|
1353|13 35 14.103|+44 11 49.49|
1352|13 35 31.298|-05 23 46.30|
 505|13 37 10.974|+71 14 32.05|
 503|13 39 11.906|-75 41 01.58|
 504|13 39 53.246|-53 27 58.99|
1665|13 40 55.460|-85 47 09.66|
1354|13 41 30.867|-23 26 59.25|
1355|13 41 36.775|-08 42 10.93|
1643|13 42 23.092|+82 45 08.62|
1356|13 42 56.090|-56 46 04.79|
1357|13 44 29.828|-16 10 44.75|
 506|13 45 41.247|-33 02 37.56|
1358|13 46 43.316|+25 42 07.87|
 507|13 47 15.740|+17 27 24.43|
 509|13 47 32.434|+49 18 47.95|ALKAID
 508|13 49 36.993|-42 28 25.53|
1359|13 49 44.164|+08 24 30.92|
 510|13 49 52.287|-18 08 03.11|
 511|13 51 25.921|+64 43 23.75|
 513|13 54 41.074|+18 23 51.72|MUPHRID
 512|13 55 32.388|-47 17 18.12|
1360|13 56 10.460|+32 01 57.31|
 514|13 57 38.861|-63 41 11.98|
 515|13 58 31.149|-24 58 20.08|
1362|13 59 49.282|-03 32 59.31|
1361|14 00 00.120|-25 00 37.49|
 517|14 01 10.477|+27 23 11.56|
 516|14 01 38.797|+01 32 40.24|
1364|14 03 27.465|-41 25 24.15|
 518|14 03 49.408|-60 22 22.79|
 521|14 04 23.341|+64 22 33.05|THUBAN
1365|14 04 26.981|-14 58 18.24|
1363|14 05 19.825|-76 47 48.38|
1366|14 06 17.780|-08 53 29.84|
 519|14 06 22.300|-26 40 56.52|
1367|14 06 26.869|+38 25 03.18|
 520|14 06 40.951|-36 22 12.03|MENKENT
1368|14 07 55.753|+43 51 16.12|
 524|14 08 50.905|+77 32 50.98|
 522|14 10 23.938|+25 05 29.89|
 523|14 12 53.752|-10 16 25.44|
 526|14 15 39.677|+19 10 56.71|ARCTURUS
 525|14 16 00.918|-06 00 02.04|SYRMA
 528|14 16 09.922|+51 22 02.17|
 527|14 16 23.020|+46 05 17.97|
1370|14 17 59.814|+35 30 34.29|
1369|14 18 38.264|-18 42 57.65|CS VIRGO
1371|14 19 06.593|-13 22 15.99|
1372|14 19 16.286|+13 00 15.43|
 529|14 20 19.524|-56 23 11.59|
1373|14 20 33.435|-37 53 07.25|
1374|14 23 25.630|-11 42 50.66|
1375|14 24 11.347|+05 49 12.34|
1376|14 24 48.627|-24 48 22.71|
 530|14 25 06.304|-68 11 43.26|
 531|14 25 11.792|+51 51 02.77|
1377|14 26 08.230|-45 13 17.18|
1378|14 26 27.360|+19 13 36.68|
1379|14 27 31.527|+75 41 45.57|
 532|14 28 10.426|-29 29 29.87|
 533|14 28 12.144|-02 13 40.67|
 536|14 31 42.804|+60 13 32.29|
 534|14 31 49.792|+30 22 17.12|
 535|14 32 04.674|+38 18 29.74|SEGINUS
1380|14 34 40.820|+29 44 42.46|
 537|14 35 30.429|-42 09 28.39|
1381|14 36 59.787|-12 18 19.44|
 540|14 38 50.225|+44 24 16.25|
 538|14 39 35.885|-60 50 07.44|RIGEL KENTAURUS
1382|14 41 43.532|+11 39 38.28|
 541|14 41 55.768|-47 23 17.51|
 539|14 42 30.408|-64 58 30.51|
 545|14 43 03.629|-05 39 29.56|
1383|14 43 25.367|+26 31 40.10|W BOOTES
 544|14 43 39.435|-35 10 25.37|
1384|14 45 13.716|+32 47 17.81|
 547|14 46 14.935|+01 53 34.16|
 546|14 47 01.306|-52 23 00.87|
1385|14 47 44.817|-26 05 14.98|
 542|14 47 51.638|-79 02 41.15|
1386|14 49 06.744|+37 48 40.26|
1644|14 50 20.403|+82 30 42.97|
1387|14 50 41.207|-15 59 50.14|
 550|14 50 42.346|+74 09 19.78|KOCHAB
 548|14 50 52.713|-16 02 30.42|ZUBENELGENUBI
 549|14 51 26.422|+59 17 38.36|
1388|14 53 39.819|+06 14 30.40|
1389|14 55 44.715|-33 51 20.94|
 551|14 56 13.233|+14 26 46.54|
1390|14 56 46.118|-11 24 35.05|
1392|14 57 03.600|+21 33 19.43|
1391|14 57 28.031|-21 24 55.95|33 G LIB
1393|14 57 33.258|-00 10 03.42|
 554|14 57 34.995|+65 55 56.79|RR UMI
 552|14 58 31.929|-43 08 02.40|
 553|14 59 09.691|-42 06 15.37|
1394|15 00 58.354|-08 31 08.28|
 555|15 01 56.757|+40 23 26.10|NEKKAR
 556|15 04 04.218|-25 16 55.12|
 557|15 04 26.745|+26 56 51.43|
1395|15 05 25.830|+48 09 03.59|
1397|15 06 16.708|+54 33 22.86|
1396|15 07 18.069|+24 52 08.96|
1398|15 11 56.081|-48 44 16.29|
 559|15 12 13.289|-19 47 30.26|
 558|15 12 17.106|-52 05 57.38|
1399|15 14 37.334|-31 31 09.01|
 565|15 14 38.326|+67 20 48.28|
 562|15 15 11.363|+04 56 21.67|
 563|15 15 30.170|+33 18 53.30|
 564|15 17 00.421|-09 22 58.54|ZUBENESCHAMALI
 561|15 17 30.839|-58 48 04.48|
1400|15 18 24.509|+20 34 21.92|
1401|15 18 41.937|+10 25 39.68|
 560|15 18 54.551|-68 40 46.38|
 569|15 20 43.713|+71 50 02.49|PHERKAD
1402|15 21 22.330|-40 38 51.39|
 566|15 21 48.377|-36 15 41.03|
1404|15 22 57.083|-26 41 19.72|
1405|15 23 01.788|-15 08 02.60|
1403|15 23 09.351|-36 51 30.73|
1406|15 23 43.712|-01 01 20.66|
 568|15 24 29.434|+37 22 37.79|ALKALUROPS
 571|15 24 55.763|+58 57 57.83|EDASICH
 570|15 25 47.401|+15 25 40.87|
 572|15 27 49.739|+29 06 20.59|NUSAKAN
1407|15 28 15.411|-16 42 59.43|
 920|15 28 19.123|-88 07 58.89|
1408|15 30 55.444|+08 34 44.70|
 573|15 30 55.762|+40 49 59.03|
 567|15 31 30.782|-73 23 22.46|
 576|15 32 55.785|+31 21 32.71|
1409|15 34 10.706|-10 03 52.39|
 578|15 34 41.276|+26 42 52.94|ALPHECCA
 577|15 35 31.579|-14 47 22.40|
1410|15 36 12.107|-44 23 48.64|
 574|15 36 43.219|-66 19 01.44|
 579|15 37 01.463|-28 08 06.15|
 580|15 37 49.602|+40 21 12.44|
1412|15 38 16.221|+46 47 51.77|
1411|15 38 49.475|-52 22 21.86|
1413|15 41 56.798|-19 40 43.88|
1666|15 43 16.844|-84 27 54.93|
1645|15 43 27.066|+82 56 50.23|
 590|15 44 03.502|+77 47 40.11|
 582|15 44 16.087|+06 25 32.31|UNUKALHAI
 583|15 46 11.262|+15 25 18.56|
 587|15 46 39.990|+62 35 58.42|
 584|15 48 44.385|+18 08 29.60|
 585|15 49 37.225|-03 25 48.81|
 588|15 50 48.970|+04 28 39.84|
 586|15 50 57.538|-33 37 37.84|
1414|15 51 13.935|+35 39 26.58|
1416|15 52 40.542|+42 27 05.64|
1415|15 53 20.061|-20 10 01.50|
 589|15 55 08.547|-63 25 50.37|
 591|15 56 27.187|+15 39 41.88|
 593|15 57 35.257|+26 52 40.34|
 595|15 57 47.433|+54 44 59.24|
1417|15 58 11.374|-14 16 45.73|
 592|15 58 51.120|-26 06 50.75|
1418|15 59 30.267|-41 44 40.07|
1419|16 00 19.598|-16 32 00.11|
 594|16 00 20.008|-22 37 18.04|
1420|16 00 47.637|-08 24 40.96|
 598|16 01 53.335|+58 33 54.96|
 597|16 05 26.233|-19 48 19.50|GRAFFIAS
 596|16 06 29.441|-45 10 23.64|
 599|16 06 35.543|-36 48 08.29|
1421|16 08 04.534|+17 02 49.03|
 601|16 08 46.178|+44 56 05.72|
1423|16 08 58.301|+36 29 27.22|
1422|16 09 11.186|+06 22 43.81|
 606|16 10 49.533|+75 52 39.15|
 600|16 13 28.741|-54 37 49.80|
 603|16 14 20.743|-03 41 39.55|YED PRIOR
 602|16 15 26.268|-63 41 08.31|
1425|16 16 16.720|+23 07 21.85|
 612|16 17 30.323|+75 45 18.94|
 605|16 18 19.290|-04 41 32.99|YED POSTERIOR
1426|16 19 32.749|-30 54 24.34|
 608|16 19 44.440|+46 18 48.21|
 604|16 19 50.443|-50 09 19.98|
1424|16 20 20.764|-78 41 44.68|
 607|16 21 11.317|-25 35 34.17|
 609|16 21 55.216|+19 09 11.20|
1427|16 22 04.354|+01 01 44.52|
1428|16 22 56.505|+32 19 58.83|
1429|16 24 10.831|+06 56 53.45|
 614|16 24 25.337|+55 12 18.42|
 613|16 25 24.962|+14 01 59.75|
 619|16 27 59.003|+68 46 05.31|
 610|16 28 28.123|-70 05 03.98|
 616|16 29 24.439|-26 25 55.15|ANTARES
1430|16 29 46.932|-14 33 03.00|
 618|16 30 13.201|+21 29 22.56|KORNEPHOROS
 623|16 30 38.788|+77 26 47.50|
1431|16 31 22.941|-34 42 15.61|
1432|16 32 25.660|+60 49 24.00|
 611|16 33 27.043|-78 53 49.66|
 621|16 34 06.189|+42 26 13.31|
 620|16 35 52.960|-28 12 57.72|
1433|16 36 21.455|-02 19 28.60|
 622|16 37 09.542|-10 34 01.56|
1434|16 38 44.851|+48 55 42.20|
 624|16 41 34.390|-17 44 31.85|
 626|16 42 53.772|+38 55 20.30|
 627|16 45 17.802|+56 46 54.79|
 912|16 45 58.142|+82 02 14.22|
1436|16 47 09.752|+02 03 52.30|
 625|16 48 39.869|-69 01 39.82|ATRIA
1437|16 49 35.002|-21 51 08.54|
1435|16 49 47.147|-59 02 29.13|
1438|16 49 50.035|-10 46 58.91|
 628|16 50 09.820|-34 17 35.72|
1440|16 51 45.266|+24 39 23.12|
1439|16 51 52.235|-38 02 50.74|
 629|16 52 04.851|+14 58 27.09|
1441|16 52 58.057|+31 42 06.03|
1442|16 54 00.482|+10 09 55.16|
 633|16 57 40.102|+09 22 30.09|
1444|16 58 17.950|-50 38 28.44|
 631|16 58 37.208|-55 59 24.51|
 632|16 59 35.066|-53 09 37.82|
 634|17 00 17.380|+30 55 35.10|
1443|17 00 54.600|-76 13 07.51|
 921|17 00 58.461|-86 21 51.55|
1445|17 01 03.598|-04 13 21.43|
1446|17 01 36.362|+33 34 05.83|
1448|17 05 04.952|+43 48 44.12|
 635|17 05 22.694|+12 44 27.03|
1447|17 06 53.244|-26 30 46.89|
 636|17 07 46.684|+40 30 57.92|
1449|17 08 14.865|-17 36 32.54|
 639|17 08 47.196|+65 42 52.79|
1450|17 09 47.959|-10 31 23.83|
1451|17 11 45.246|+07 53 41.11|
 638|17 12 09.209|-43 14 20.99|
 641|17 15 01.911|+24 50 21.17|
 643|17 15 02.839|+36 48 33.01|
1453|17 16 31.717|+01 12 37.94|U OPH
 914|17 16 56.834|+89 02 15.66|
1452|17 17 03.656|-32 39 46.31|
1454|17 20 18.871|+18 03 25.54|
1456|17 20 39.571|+32 28 03.88|
 644|17 22 00.587|-24 59 58.25|
 642|17 22 05.852|-70 07 23.57|
 645|17 25 17.999|-55 31 47.61|
1458|17 25 57.881|-01 39 06.44|
1457|17 26 22.222|-24 10 31.13|
1459|17 26 30.885|+04 08 25.22|
 647|17 26 37.881|-05 05 11.75|
 650|17 26 44.249|+48 15 36.26|
 646|17 27 21.287|-29 52 01.49|
 653|17 30 25.955|+52 18 05.12|RASTABAN
1460|17 30 44.318|+26 06 38.39|
 649|17 30 45.843|-37 17 45.03|LESATH
 648|17 31 05.894|-60 41 01.69|
1455|17 31 27.308|-80 51 32.94|
 651|17 31 50.509|-49 52 34.29|
 659|17 31 57.866|+68 08 06.11|
 655|17 32 10.554|+55 11 03.41|
 913|17 32 12.872|+86 35 11.32|
 657|17 32 16.017|+55 10 22.60|
1462|17 33 07.257|+41 14 36.50|
 652|17 33 36.534|-37 06 13.72|SHAULA
1461|17 34 46.357|-11 14 31.09|
 656|17 34 56.076|+12 33 36.14|RASALHAGUE
 664|17 36 57.082|+68 45 28.72|
 654|17 37 19.151|-42 59 52.21|
 658|17 37 35.202|-15 23 54.78|
 663|17 39 27.892|+46 00 22.90|
 670|17 41 56.342|+72 08 55.89|
 660|17 42 29.276|-39 01 48.09|
1463|17 43 25.803|-21 40 59.51|
 665|17 43 28.358|+04 34 02.26|CEBALRAI
 662|17 44 08.704|-51 50 02.68|
 661|17 45 43.966|-64 43 25.77|
 667|17 46 27.517|+27 43 14.35|
1464|17 47 33.638|-27 49 50.93|
 666|17 47 35.085|-40 07 37.36|
 668|17 47 53.564|+02 42 26.19|
1465|17 48 24.769|+20 33 55.65|
 675|17 49 27.007|+76 57 46.27|
 669|17 49 51.497|-37 02 35.85|G SCO
1466|17 50 09.254|+09 50 53.71|
 671|17 53 31.725|+56 52 21.56|GRUMIUM
1467|17 54 57.686|-07 44 02.12|
1468|17 55 25.191|+26 03 00.00|
 672|17 56 15.185|+37 15 01.90|
 676|17 56 36.367|+51 29 20.21|ELTANIN
 674|17 57 45.895|+29 14 52.46|
 673|17 59 01.598|-09 46 25.10|
1469|18 00 03.417|+16 45 03.28|
 677|18 00 38.719|+02 55 53.60|
1470|18 01 23.132|-17 09 24.77|
 679|18 05 48.491|-30 25 26.69|ALNASL
1471|18 06 37.864|-50 05 29.57|
 680|18 07 20.988|+09 33 49.87|
 681|18 07 32.555|+28 45 45.01|
1472|18 09 43.385|-13 56 04.01|
1473|18 11 13.766|-45 57 15.82|
 678|18 11 15.727|-75 53 29.36|
 682|18 13 45.812|-21 03 31.79|
 685|18 13 53.802|+64 23 50.19|
 684|18 15 38.791|+42 09 33.62|
1474|18 17 07.521|-56 01 24.09|
1475|18 17 24.170|-09 45 31.04|
 683|18 17 37.641|-36 45 42.15|
1477|18 19 51.711|+36 03 52.45|
1476|18 20 52.067|+03 22 37.71|
 687|18 20 59.655|-29 49 41.33|KAUS MEDIA
 695|18 21 03.381|+72 43 58.33|
 688|18 21 18.601|-02 53 55.74|
 686|18 23 13.606|-61 29 38.09|
 690|18 23 41.889|+21 46 11.08|
1646|18 24 09.175|+83 10 31.21|
 689|18 24 10.327|-34 23 04.73|KAUS AUSTRALIS
1478|18 25 38.802|+08 01 55.20|
1479|18 25 58.795|+29 49 44.20|
 691|18 26 58.421|-45 58 06.42|
 692|18 27 58.246|-25 25 18.15|KAUS BOREALIS
 696|18 29 11.857|-14 33 56.92|
1480|18 29 40.986|-01 59 07.11|
 700|18 29 44.932|+77 32 49.42|
1481|18 31 04.446|+16 55 42.74|
 697|18 33 30.179|-42 18 45.09|
1483|18 33 47.672|+46 13 09.02|
1482|18 35 12.436|-08 14 38.63|
 701|18 36 13.250|+65 29 19.28|
1484|18 36 27.836|+09 07 21.05|
 699|18 36 56.332|+38 47 01.17|VEGA
1485|18 37 54.437|-21 23 51.87|
1486|18 42 16.432|-09 03 09.20|
 698|18 43 02.092|-71 25 41.23|
 702|18 43 31.259|-08 16 30.81|
1487|18 45 39.389|-26 59 26.82|
 703|18 45 39.725|+20 32 46.72|
1488|18 46 04.481|+26 39 43.62|
1494|18 46 22.190|+75 26 02.29|
